,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region
11,56722,6733,88899,5/2/2020,2610,115,Punjab
13,57761,6675,57761,5/2/2020,4044,118,Sindh
6,2227,71,2227,5/4/2020,0,0,AJK
7,15927,1218,10326,5/4/2020,917,21,Balochistan
8,5069,364,4439,5/4/2020,91,3,GB
9,12704,415,12704,5/4/2020,339,4,ICT
10,20900,3129,21909,5/4/2020,1535,180,KP
11,67908,7524,96854,5/4/2020,2775,124,Punjab
13,64052,7465,64052,5/4/2020,4638,130,Sindh
6,2281,71,2281,5/5/2020,0,0,AJK
7,16110,1321,10633,5/5/2020,1014,21,Balochistan
8,5160,372,4581,5/5/2020,80,3,GB
9,13697,464,13697,5/5/2020,383,4,ICT
10,21683,3288,22692,5/5/2020,1578,185,KP
11,74533,8103,101897,5/5/2020,2779,136,Punjab
13,66623,7882,66623,5/5/2020,4994,137,Sindh
6,2391,76,2391,5/6/2020,54,0,AJK
7,16334,1495,11496,5/6/2020,206,21,Balochistan
8,5284,386,4748,5/6/2020,282,3,GB
9,14585,485,14585,5/6/2020,56,4,ICT
10,22553,3499,23562,5/6/2020,875,194,KP
11,79911,8420,106927,5/6/2020,3073,156,Punjab
13,69973,8189,68873,5/6/2020,1671,148,Sindh
6,2471,76,2471,5/7/2020,57,0,AJK
7,16470,1659,12289,5/7/2020,209,22,Balochistan
8,5565,388,4876,5/7/2020,288,3,GB
9,15607,521,15607,5/7/2020,56,4,ICT
10,23975,3712,24984,5/7/2020,939,203,KP
11,86398,9077,112007,5/7/2020,3184,175,Punjab
13,72544,8640,72544,5/7/2020,1731,157,Sindh
6,2518,78,2518,5/8/2020,58,0,AJK
7,16705,1725,13241,5/8/2020,209,24,Balochistan
8,5658,394,5007,5/8/2020,292,3,GB
9,16666,558,16666,5/8/2020,72,4,ICT
10,25522,3956,26531,5/8/2020,984,209,KP
11,92781,10033,117206,5/8/2020,4062,183,Punjab
13,76078,9093,76078,5/8/2020,1853,171,Sindh
6,2668,79,2668,5/9/2020,60,0,AJK
7,16822,1876,13771,5/9/2020,222,24,Balochistan
8,5886,421,5135,5/9/2020,298,3,GB
9,17657,609,17657,5/9/2020,72,4,ICT
10,26981,4327,27990,5/9/2020,1033,221,KP
11,96701,10471,121194,5/9/2020,4131,191,Punjab
13,81610,9691,81610,5/9/2020,1940,175,Sindh
6,2780,86,2780,5/10/2020,60,0,AJK
7,16944,1935,14374,5/10/2020,242,24,Balochistan
8,5983,430,5310,5/10/2020,303,4,GB
9,18755,641,18755,5/10/2020,72,5,ICT
10,28193,4509,29202,5/10/2020,1086,234,KP
11,101371,11093,125988,5/10/2020,4240,192,Punjab
13,87108,10771,87108,5/10/2020,2020,180,Sindh
6,2854,86,2854,5/11/2020,64,0,AJK
7,17237,2017,14687,5/11/2020,242,26,Balochistan
8,6060,442,5480,5/11/2020,304,4,GB
9,19532,679,19532,5/11/2020,72,6,ICT
10,29463,4669,30472,5/11/2020,1126,245,KP
11,103904,11568,130546,5/11/2020,4323,197,Punjab
13,91323,11480,91323,5/11/2020,2081,189,Sindh
6,2935,86,2935,5/12/2020,0,1,AJK
7,17514,2061,15323,5/12/2020,1761,27,Balochistan
8,6213,457,5619,5/12/2020,121,4,GB
9,20201,716,20201,5/12/2020,602,6,ICT
10,30597,4875,31606,5/12/2020,2713,257,KP
11,107603,11869,135114,5/12/2020,2784,211,Punjab
13,95053,12017,95053,5/12/2020,8178,200,Sindh
6,3037,88,3037,5/13/2020,0,1,AJK
7,17781,2158,15751,5/13/2020,1844,27,Balochistan
8,6224,475,5748,5/13/2020,127,4,GB
9,21257,759,21257,5/13/2020,632,6,ICT
10,31568,5021,32577,5/13/2020,2860,267,KP
11,114762,13225,140212,5/13/2020,2780,214,Punjab
13,99117,12610,99117,5/13/2020,8668,218,Sindh
6,3245,91,3245,5/14/2020,69,1,AJK
7,17910,2239,16062,5/14/2020,326,27,Balochistan
8,6396,482,5884,5/14/2020,337,4,GB
9,22287,822,22287,5/14/2020,100,6,ICT
10,33253,5252,34352,5/14/2020,1392,275,KP
11,121329,13561,145577,5/14/2020,4636,223,Punjab
13,103343,13341,103343,5/14/2020,2835,234,Sindh
6,3411,105,3411,5/15/2020,76,1,AJK
7,18255,2310,16601,5/15/2020,342,30,Balochistan
8,6573,501,6027,5/15/2020,339,4,GB
9,23409,866,23409,5/15/2020,100,7,ICT
10,34806,5423,35905,5/15/2020,1505,284,KP
11,126538,13914,151247,5/15/2020,4720,234,Punjab
13,107830,14099,107830,5/15/2020,3073,243,Sindh
6,3572,108,3572,5/16/2020,76,1,AJK
7,18609,2457,17078,5/16/2020,383,31,Balochistan
8,6660,518,6173,5/16/2020,345,4,GB
9,24367,921,24367,5/16/2020,100,7,ICT
10,36443,5678,37452,5/16/2020,1613,291,KP
11,132593,14201,157226,5/16/2020,4757,245,Punjab
13,113396,14916,113396,5/16/2020,3606,255,Sindh
6,3758,112,3758,5/17/2020,77,1,AJK
7,18627,2544,17663,5/17/2020,417,36,Balochistan
8,6808,527,6356,5/17/2020,348,4,GB
9,25385,947,25385,5/17/2020,113,7,ICT
10,37913,5847,38992,5/17/2020,1699,305,KP
11,138511,14584,163466,5/17/2020,4883,252,Punjab
13,117860,15590,117860,5/17/2020,3804,268,Sindh
6,3947,112,3947,5/18/2020,77,1,AJK
7,18801,2692,18021,5/18/2020,454,36,Balochistan
8,6929,540,6517,5/18/2020,368,4,GB
9,26606,997,26606,5/18/2020,113,7,ICT
10,39321,6061,40410,5/18/2020,1783,318,KP
11,142864,15346,168940,5/18/2020,4918,260,Punjab
13,122894,16337,122894,5/18/2020,4209,277,Sindh
6,4090,115,4090,5/19/2020,77,1,AJK
7,19029,2820,18438,5/19/2020,524,38,Balochistan
8,6985,550,6636,5/19/2020,368,4,GB
9,27425,1034,27425,5/19/2020,113,9,ICT
10,40721,6230,41825,5/19/2020,1944,334,KP
11,148621,15976,174305,5/19/2020,4974,273,Punjab
13,127573,17241,127573,5/19/2020,4489,280,Sindh
6,4242,133,4242,5/20/2020,77,1,AJK
7,19381,2885,19003,5/20/2020,608,38,Balochistan
8,7071,556,6731,5/20/2020,390,4,GB
9,29033,1138,29033,5/20/2020,151,9,ICT
10,42121,6554,43329,5/20/2020,2058,345,KP
11,155679,16685,180540,5/20/2020,5076,289,Punjab
13,131376,17947,131376,5/20/2020,4741,299,Sindh
6,4470,148,4470,5/21/2020,79,1,AJK
7,19394,2968,19345,5/21/2020,636,38,Balochistan
8,7178,579,6928,5/21/2020,402,4,GB
9,30364,1235,30364,5/21/2020,151,10,ICT
10,43623,6815,44973,5/21/2020,2130,351,KP
11,162669,17382,185979,5/21/2020,5112,297,Punjab
13,137540,18964,137540,5/21/2020,5645,316,Sindh
6,4659,158,4659,5/22/2020,79,1,AJK
7,19698,3074,19888,5/22/2020,724,39,Balochistan
8,7310,602,7099,5/22/2020,412,4,GB
9,32126,1326,32126,5/22/2020,151,12,ICT
10,45049,7155,46762,5/22/2020,2198,365,KP
11,165801,18455,191910,5/22/2020,5312,310,Punjab
13,143543,19924,143543,5/22/2020,6325,336,Sindh
6,4868,171,4868,5/23/2020,94,1,AJK
7,19980,3198,20383,5/23/2020,762,39,Balochistan
8,7540,607,7338,5/23/2020,427,4,GB
9,32964,1457,32964,5/23/2020,152,12,ICT
10,46279,7391,48348,5/23/2020,2297,381,KP
11,169603,18730,197225,5/23/2020,5906,324,Punjab
13,149566,20883,149566,5/23/2020,7015,340,Sindh
6,5103,197,5103,5/24/2020,97,1,AJK
7,19998,3306,20987,5/24/2020,860,39,Balochistan
8,7780,619,7443,5/24/2020,430,4,GB
9,33936,1592,33936,5/24/2020,152,14,ICT
10,47431,7685,49780,5/24/2020,2396,389,KP
11,175007,19557,202456,5/24/2020,6050,332,Punjab
13,153902,21645,153902,5/24/2020,7213,354,Sindh
6,5225,209,5225,5/25/2020,99,2,AJK
7,19998,3407,21401,5/25/2020,875,40,Balochistan
8,7827,619,7574,5/25/2020,437,7,GB
9,34379,1641,34379,5/25/2020,152,16,ICT
10,48476,7905,51587,5/25/2020,2469,398,KP
11,178178,20077,206041,5/25/2020,6091,337,Punjab
13,157449,22491,157449,5/25/2020,7359,367,Sindh
6,5341,211,5341,5/26/2020,99,2,AJK
7,20352,3468,21597,5/26/2020,993,41,Balochistan
8,8086,630,7652,5/26/2020,444,8,GB
9,34964,1728,34964,5/26/2020,152,17,ICT
10,49025,8080,52783,5/26/2020,2529,408,KP
11,180538,20654,209270,5/26/2020,6124,352,Punjab
13,159301,22934,159301,5/26/2020,7973,369,Sindh
6,5379,214,5379,5/27/2020,99,4,AJK
